year,slice_pages,slice_words,global_per1000,international_per1000,world_class_per1000,diversity_per1000,ranking_per1000,foreign_per1000,exchange_per1000
1997,6,1527,0.0,0.655,0.0,0.0,0.0,1.31,1.31
1998,5,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999,14,3625,0.552,3.034,0.828,0.0,0.0,0.0,0.0
2000,3,449,0.0,15.59,0.0,0.0,0.0,0.0,0.0
2001,6,1476,1.355,1.355,0.678,0.0,0.0,0.0,0.0
2002,3,857,7.001,3.501,1.167,0.0,1.167,0.0,1.167
2003,3,413,0.0,4.843,0.0,0.0,0.0,0.0,2.421
2004,1,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,1,317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,2,252,0.0,7.937,0.0,0.0,0.0,0.0,39.683
2012,1,285,0.0,7.018,0.0,0.0,0.0,3.509,0.0
2013,2,469,2.132,10.661,0.0,0.0,0.0,4.264,0.0
2014,4,1875,0.0,7.467,0.0,0.0,0.0,0.0,1.067
2015,5,2702,1.11,5.551,0.0,0.0,0.0,0.0,0.74
2016,5,2680,1.119,5.224,0.0,0.0,0.373,0.0,0.746
2017,5,2843,2.11,6.683,0.0,0.0,0.0,0.0,0.703
2018,6,3983,0.502,5.272,0.0,0.0,0.0,0.0,0.502
2019,7,4211,0.95,4.749,0.0,0.0,0.0,0.0,0.475
2020,3,1879,4.79,3.193,0.0,0.0,0.0,0.0,0.0
2021,3,1880,4.787,3.191,0.0,0.0,0.0,0.0,0.0
2022,3,1956,5.624,3.579,0.0,0.0,0.0,0.0,0.0
2023,3,2027,4.44,2.96,0.0,0.0,0.0,0.0,0.0
2024,3,2137,4.212,2.808,0.0,0.0,0.0,0.0,0.0
2025,2,1422,7.032,2.813,0.0,0.0,0.0,0.0,0.0
2026,2,1275,6.275,3.137,0.0,0.0,0.0,0.0,0.0
