year,pages_kept,nav_international,nav_global,nav_foreign,nav_overseas,nav_exchange,nav_admissions
1997,15,0,0,0,0,0,0
1998,9,0,0,0,0,0,0
1999,29,0,0,0,0,0,0
2000,8,0,0,0,0,0,0
2001,17,0,0,0,0,0,0
2002,6,0,0,0,0,0,0
2003,7,1,0,0,0,1,0
2004,19,0,0,0,0,0,0
2005,28,0,0,0,0,0,0
2006,26,0,0,0,0,0,0
2007,18,0,0,0,0,0,0
2008,1,0,0,0,0,0,0
2009,1,1,1,0,0,1,1
2010,41,1,1,0,1,1,1
2011,33,1,1,0,0,1,1
2012,37,1,1,0,0,1,1
2013,34,1,1,0,0,0,1
2014,47,1,0,0,0,1,1
2015,46,1,1,0,0,1,1
2016,47,1,1,0,0,1,1
2017,46,1,1,0,0,1,1
2018,46,1,1,0,0,1,1
2019,48,1,1,0,0,1,1
2020,41,1,1,0,0,0,1
2021,41,1,1,0,0,0,1
2022,41,1,1,0,0,0,1
2023,41,1,1,0,1,0,1
2024,41,1,1,0,1,0,1
2025,42,1,1,0,0,0,1
2026,42,1,1,0,0,0,1
