term,lag,r,n
global,0,0.6892,20
international,0,-0.0479,20
world_class,0,-0.2181,20
diversity,0,0.3417,20
ranking,0,-0.1757,20
innovation,0,0.4889,20
excellence,0,0.4293,20
collaboration,0,0.4263,20
foreign_students,0,-0.0015,20
english,0,-0.3072,20
ai,0,0.5442,20
entrepreneurship,0,0.4765,20
international,-3,-0.1807,20
international,-2,-0.1561,20
international,-1,-0.0808,20
international,0,-0.0479,20
international,1,0.0677,19
international,2,-0.0126,18
international,3,-0.1442,17
