year,article_count,total_words,global_count,global_per1000,international_count,international_per1000,world_class_count,world_class_per1000,diversity_count,diversity_per1000,ranking_count,ranking_per1000,innovation_count,innovation_per1000,excellence_count,excellence_per1000,collaboration_count,collaboration_per1000,foreign_students_count,foreign_students_per1000,english_count,english_per1000,ai_count,ai_per1000,entrepreneurship_count,entrepreneurship_per1000
2006,44,10704,8,0.7474,20,1.8685,6,0.5605,0,0.0,5,0.4671,7,0.654,15,1.4013,1,0.0934,0,0.0,11,1.0277,0,0.0,9,0.8408
2007,52,16779,21,1.2516,23,1.3708,5,0.298,4,0.2384,3,0.1788,11,0.6556,14,0.8344,10,0.596,2,0.1192,3,0.1788,0,0.0,2,0.1192
2008,64,19439,43,2.212,72,3.7039,3,0.1543,3,0.1543,20,1.0289,7,0.3601,25,1.2861,32,1.6462,3,0.1543,9,0.463,1,0.0514,0,0.0
2009,71,24049,50,2.0791,58,2.4117,2,0.0832,1,0.0416,36,1.4969,17,0.7069,18,0.7485,14,0.5821,2,0.0832,1,0.0416,0,0.0,5,0.2079
2010,80,33970,43,1.2658,95,2.7966,3,0.0883,5,0.1472,16,0.471,30,0.8831,44,1.2953,20,0.5888,7,0.2061,13,0.3827,5,0.1472,1,0.0294
2011,110,24843,21,0.8453,42,1.6906,9,0.3623,5,0.2013,4,0.161,14,0.5635,25,1.0063,15,0.6038,0,0.0,16,0.644,1,0.0403,0,0.0
2012,73,18983,29,1.5277,32,1.6857,7,0.3688,3,0.158,18,0.9482,18,0.9482,15,0.7902,14,0.7375,5,0.2634,4,0.2107,1,0.0527,0,0.0
2013,121,39341,60,1.5251,46,1.1693,3,0.0763,4,0.1017,29,0.7371,30,0.7626,37,0.9405,48,1.2201,2,0.0508,4,0.1017,1,0.0254,27,0.6863
2014,234,55020,89,1.6176,114,2.072,4,0.0727,8,0.1454,97,1.763,47,0.8542,51,0.9269,72,1.3086,10,0.1818,6,0.1091,5,0.0909,37,0.6725
2015,194,58448,69,1.1805,125,2.1387,0,0.0,14,0.2395,59,1.0094,61,1.0437,41,0.7015,50,0.8555,12,0.2053,5,0.0855,6,0.1027,48,0.8212
2016,78,28956,48,1.6577,45,1.5541,3,0.1036,5,0.1727,17,0.5871,26,0.8979,33,1.1397,20,0.6907,3,0.1036,2,0.0691,7,0.2417,16,0.5526
2017,176,76875,154,2.0033,109,1.4179,6,0.078,48,0.6244,42,0.5463,107,1.3919,64,0.8325,56,0.7285,15,0.1951,6,0.078,93,1.2098,38,0.4943
2018,177,74977,85,1.1337,71,0.947,2,0.0267,26,0.3468,29,0.3868,82,1.0937,79,1.0537,68,0.9069,3,0.04,1,0.0133,113,1.5071,29,0.3868
2019,130,54154,56,1.0341,38,0.7017,3,0.0554,14,0.2585,14,0.2585,56,1.0341,49,0.9048,63,1.1633,1,0.0185,0,0.0,94,1.7358,22,0.4062
2020,134,70713,86,1.2162,52,0.7354,2,0.0283,17,0.2404,15,0.2121,33,0.4667,40,0.5657,49,0.6929,1,0.0141,1,0.0141,122,1.7253,8,0.1131
2021,116,59144,131,2.2149,46,0.7778,2,0.0338,15,0.2536,13,0.2198,63,1.0652,46,0.7778,50,0.8454,11,0.186,0,0.0,139,2.3502,38,0.6425
2022,78,44366,62,1.3975,46,1.0368,8,0.1803,12,0.2705,9,0.2029,19,0.4283,32,0.7213,42,0.9467,0,0.0,4,0.0902,146,3.2908,33,0.7438
2023,60,42701,67,1.569,53,1.2412,4,0.0937,5,0.1171,2,0.0468,30,0.7026,33,0.7728,19,0.445,3,0.0703,0,0.0,112,2.6229,32,0.7494
2024,70,45871,85,1.853,66,1.4388,10,0.218,8,0.1744,4,0.0872,58,1.2644,46,1.0028,32,0.6976,1,0.0218,1,0.0218,102,2.2236,32,0.6976
2025,275,186168,338,1.8156,281,1.5094,41,0.2202,63,0.3384,20,0.1074,252,1.3536,223,1.1978,188,1.0098,9,0.0483,5,0.0269,1109,5.957,132,0.709
